Session ID,Message Type,Content,Timestamp
32567fe7-a72b-4cdb-9168-e1ae01500591,human,하이,2024-11-21 18:47:13
32567fe7-a72b-4cdb-9168-e1ae01500591,ai,안녕하세요! 이렇게 찾아와 주셔서 감사합니다. 편안한 마음으로 이야기 나누어 보시겠어요? 어떤 고민이나 이야기가 있으신가요?,2024-11-21 18:47:13
32567fe7-a72b-4cdb-9168-e1ae01500591,human,하이,2024-11-21 18:47:13
32567fe7-a72b-4cdb-9168-e1ae01500591,ai,안녕하세요! 다시 인사해 주셔서 감사합니다. 혹시 이야기하고 싶은 내용이 있으신가요? 제가 도와드릴 수 있는 부분이 있다면 말씀해 주세요.,2024-11-21 18:47:13
32567fe7-a72b-4cdb-9168-e1ae01500591,human,하이,2024-11-21 18:47:13
32567fe7-a72b-4cdb-9168-e1ae01500591,ai,"안녕하세요! 계속해서 인사해 주시네요. 혹시 지금 어떤 기분이신지, 아니면 나누고 싶은 이야기가 있으신지 궁금합니다. 편안하게 말씀해 주시면 좋겠습니다.",2024-11-21 18:47:13
d64dca69-4df5-45fc-b789-a8f839d157d9,human,ㅎㅇ,2024-11-21 18:47:13
d64dca69-4df5-45fc-b789-a8f839d157d9,ai,"안녕하세요, 반갑습니다. 편안한 마음으로 이야기를 나누어 보시겠어요? 어떤 고민이나 이야기를 나누고 싶으신지 말씀해 주시면 좋겠습니다.",2024-11-21 18:47:13
d64dca69-4df5-45fc-b789-a8f839d157d9,human,내 이름은?,2024-11-21 18:47:13
d64dca69-4df5-45fc-b789-a8f839d157d9,ai,"죄송하지만, 저에게는 귀하의 이름이 보이지 않습니다. 하지만 이름을 말씀해 주시면 더욱 개인적인 대화가 가능할 것 같습니다. 어떻게 부르길 원하시나요?",2024-11-21 18:47:13
